Date : 2025-03-17 09:39:04
Directory : ./
Total : 63 files,  7462 codes, 2 comments, 1048 blanks, all 8512 lines, 0.03% comment rate

Languages
+------------------+------------+------------+------------+------------+------------+--------------+
| language         | files      | code       | comment    | blank      | total      | comment rate |
| internal/utils/logger_wapper.go                   | Go               |         77 |          0 |         14 |         91 |        0.00% |
| openapi.yaml                                      | YAML             |          7 |          2 |          2 |         11 |       22.22% |
| third_party/errors/errors.proto                   | Protocol Buffers |         13 |          0 |          5 |         18 |        0.00% |
| third_party/google/api/annotations.proto          | Protocol Buffers |         26 |          0 |          6 |         32 |        0.00% |
| third_party/google/api/client.proto               | Protocol Buffers |         92 |          0 |          9 |        101 |        0.00% |
| third_party/google/api/field_behavior.proto       | Protocol Buffers |         67 |          0 |         13 |         80 |        0.00% |
| third_party/google/api/http.proto                 | Protocol Buffers |        358 |          0 |         18 |        376 |        0.00% |
| third_party/google/api/httpbody.proto             | Protocol Buffers |         70 |          0 |          8 |         78 |        0.00% |
| third_party/google/protobuf/any.proto             | Protocol Buffers |        153 |          0 |          6 |        159 |        0.00% |
| third_party/google/protobuf/api.proto             | Protocol Buffers |        188 |          0 |         21 |        209 |        0.00% |
| third_party/google/protobuf/compiler/plugin.proto | Protocol Buffers |        165 |          0 |         19 |        184 |        0.00% |
| third_party/google/protobuf/descriptor.proto      | Protocol Buffers |        783 |          0 |        139 |        922 |        0.00% |
| third_party/google/protobuf/duration.proto        | Protocol Buffers |        111 |          0 |          6 |        117 |        0.00% |
| third_party/google/protobuf/empty.proto           | Protocol Buffers |         48 |          0 |          5 |         53 |        0.00% |
| third_party/google/protobuf/field_mask.proto      | Protocol Buffers |        241 |          0 |          5 |        246 |        0.00% |
| third_party/google/protobuf/source_context.proto  | Protocol Buffers |         44 |          0 |          5 |         49 |        0.00% |
| third_party/google/protobuf/struct.proto          | Protocol Buffers |         88 |          0 |          8 |         96 |        0.00% |
| third_party/google/protobuf/timestamp.proto       | Protocol Buffers |        142 |          0 |          6 |        148 |        0.00% |
| third_party/google/protobuf/type.proto            | Protocol Buffers |        175 |          0 |         13 |        188 |        0.00% |
| third_party/google/protobuf/wrappers.proto        | Protocol Buffers |        110 |          0 |         14 |        124 |        0.00% |
| third_party/openapi/v3/annotations.proto          | Protocol Buffers |         48 |          0 |         12 |         60 |        0.00% |
| third_party/openapi/v3/openapi.proto              | Protocol Buffers |        584 |          0 |         89 |        673 |        0.00% |
| third_party/validate/validate.proto               | Protocol Buffers |        678 |          0 |        186 |        864 |        0.00% |
| Total                                             |                  |      7,462 |          2 |      1,048 |      8,512 |        0.03% |
+---------------------------------------------------+------------------+------------+------------+------------+------------+--------------+
